,city,Latitude,Longitudes,Humidity,Cloudiness,Temperature,Wind Speed
0,severo-kurilsk,47,159,100,48,-4.54,4.07
1,longyearbyen,181,28,51,20,-11,9.3
2,epe,6,4,93,75,7,4.1
3,mahon,39,4,100,75,8,9.3
4,dikson,165,62,90,20,-23.64,12.92
5,chokurdakh,159,152,29,76,-28.89,1.67
6,benghazi,34,18,100,20,16.31,8.72
7,saskylakh,123,120,70,64,-20.99,4.92
10,pevek,165,172,90,88,-17.04,0.42
12,tezu,33,97,72,88,14.77,0.77
16,wolgast,54,14,91,80,2.12,2.47
19,zelenoborskiy,66,32,69,8,-13.84,1.62
20,nikolskoye,52,164,95,90,1,5
21,tiksi,193,135,65,76,-20.14,1.27
25,seka,18,104,88,68,15.97,0.92
26,chitral,36,71,84,8,-9.89,0.32
27,boguchany,58,97,86,36,-6.14,1.87
34,cherskiy,86,164,51,68,-27.49,2.12
38,chlum u trebone,49,15,70,80,-0.34,3.32
42,kalundborg,56,11,99,76,2,2.6
45,khatanga,83,100,47,44,-26.69,2.02
46,sukhoy log,57,62,86,80,-6.09,2.07
47,usinsk,69,57,73,44,-19.29,4.57
49,ouadda,8,22,93,32,22.97,2.67
50,leningradskiy,187,179,88,68,-14.29,1.62
52,srednekolymsk,70,152,30,44,-29.44,1.17
54,kalaiya,27,85,71,0,18.56,1.67
55,vadso,70,29,73,75,-7.51,5.7
58,arman,58,150,69,0,-25,2
60,yakeshi,49,121,73,36,-7.44,1.32
61,katsuura,31,143,88,20,6,9.3
62,hasaki,35,148,81,75,9.55,1.5
65,ikom,6,9,80,48,27.37,2.67
68,gat,24,8,22,12,35.17,2.92
71,aykhal,67,109,57,0,-19.14,1.77
72,klobuck,51,19,40,0,3,3.1
73,airai,17,139,90,20,19.72,0.72
75,thyboron,57,8,94,20,4.37,2.47
76,susner,24,76,39,0,20.62,2.62
79,balud,12,123,100,0,21.82,2.32
80,kaduqli,11,29,58,20,27.72,0.97
82,aksarka,72,68,37,0,-31.49,3.02
89,leh,35,79,73,76,-16.19,0.62
92,roros,62,12,80,75,-1,2.6
95,meybod,32,53,11,0,23,2.1
96,youhao,48,129,62,64,-0.69,2.47
99,kaduy,60,37,84,48,-3.99,5.47
101,saiha,22,93,79,0,16.97,0.47
105,nurota,42,65,71,0,11,4.1
111,damghan,35,55,66,0,9.81,1.37
114,telfs,47,11,35,75,2.83,5.1
116,stokmarknes,69,15,68,0,-1,2.1
118,umm kaddadah,13,26,17,0,24.17,1.47
123,avrameni,48,27,68,0,-4,4.6
124,ha tinh,18,106,100,0,20.57,1.62
126,guilin,25,110,81,0,12,1
130,butaritari,28,171,98,88,28.32,7.67
131,tura,64,103,95,0,17.02,1.17
141,gizycko,54,22,81,56,0.47,4.57
142,xinyang,32,114,78,0,6.37,1.87
144,vardo,85,36,41,1,4.33,6.7
149,barahan,13,121,100,44,22.82,1.62
150,lingyuan,41,119,70,24,-3.24,1.82
153,kavaratti,11,66,100,0,28.67,4.37
154,namatanai,3,158,97,68,28.47,6.27
156,yerbogachen,61,107,88,76,-5.44,2.07
158,hambantota,1,86,100,8,27.17,5.02
168,moron,48,101,58,64,29,1
169,titesti,45,25,86,92,-3.04,3.07
170,yar-sale,72,71,34,0,-30.59,4.67
171,langxiang,47,129,69,20,-7.89,1.17
172,tyukhtet,57,89,75,80,-4.34,2.07
183,evensk,63,158,100,76,-15.19,2.52
184,uporovo,56,66,90,92,-6.04,1.47
187,miandoab,37,46,21,0,16,3.1
189,gryfice,54,15,93,90,2,2.1
192,vrangel,42,133,100,20,-0.19,1.87
194,salalah,18,55,74,20,26,1.5
197,djougou,10,2,46,20,32,3.6
202,erenhot,44,113,65,88,2.72,1.72
204,vostok,47,150,65,32,-11.24,1.07
205,bin qirdan,33,11,41,8,14.06,7.37
207,hovd,42,102,91,75,3.52,4.1
221,tilichiki,60,170,76,64,-11.69,2.92
226,huilong,32,125,84,12,5.31,0.97
231,montale,44,11,24,0,9.7,7.2
232,seligenstadt,50,9,86,90,3.66,3.6
237,yokadouma,3,14,86,44,24.37,0.97
238,ornskoldsvik,64,18,50,0,1,3.1
239,motygino,58,95,81,48,-8.84,1.02
241,dhidhdhoo,7,72,100,32,28.52,3.12
243,kungurtug,51,99,63,0,-12.84,1.02
246,yuza,39,140,100,80,3.77,4.82
248,ust-kuyga,69,136,71,76,-23.74,1.32
260,bayanday,53,106,81,56,-4.99,1.12
270,borovskoy,54,64,87,68,-2.94,3.47
275,kavieng,6,155,97,68,29.42,6.07
277,balkanabat,40,54,71,0,8.77,0.72
279,wukari,8,10,64,68,27.87,5.32
281,nanga eboko,5,13,90,64,22.57,1.42
282,burla,53,78,86,8,2.62,6.67
286,gusau,12,7,54,64,28.97,3.42
289,khoy,39,45,51,0,5.31,1.82
292,tandlianwala,31,73,77,0,18.67,1.17
293,talnakh,78,90,40,0,-32.59,1.87
295,zhanaozen,44,54,64,24,10.67,5.12
298,najran,20,47,15,20,28,4.1
299,buchmany,51,28,87,36,-4.84,4.02
306,danshui,22,115,100,0,12.37,2.07
309,sangar,66,126,64,68,-16.04,1.87
315,meulaboh,3,97,100,12,26.67,1.87
317,banda aceh,3,92,98,44,23.22,1.37
321,simao,23,102,89,68,15.77,1.07
323,bhainsa,19,78,31,8,25.02,5.27
330,mezen,70,47,67,8,-18.29,1.22
331,anadyr,66,179,95,80,0.56,11.22
334,santiago,7,130,35,0,22,2.1
337,konevo,62,39,99,92,0.47,2.82
345,ostrovnoy,67,41,77,44,-11.94,4.77
347,sorland,69,11,64,0,1.89,1.5
358,faya,22,25,64,40,20.52,3.1
365,great yarmouth,53,2,71,75,10,6.2
368,kodino,64,40,80,88,-8.54,1.17
383,jalingo,9,11,34,12,33.52,1.37
390,lerwick,59,1,87,75,7.5,7.2
397,adrar,27,4,14,0,19,8.2
406,felanitx,39,3,48,20,12,5.7
412,amazar,55,121,77,0,-8.19,1.17
416,hamada,35,132,92,0,3.67,3.62
423,sakaiminato,36,133,80,40,2,3.6
438,kinablangan,8,128,100,92,23.72,3.67
443,marzuq,24,18,22,0,14.97,1.67
445,alekseyevsk,59,108,89,92,-4.04,2.67
447,bandarbeyla,9,59,100,0,25.82,2.87
455,nishiwaki,35,135,65,40,7,8.7
456,frunze,49,39,66,24,-10.49,1.42
462,bilibino,67,169,59,92,-22.14,1.37
468,teya,61,91,44,90,27,3.6
471,watsa,3,30,89,8,21.67,1.52
482,carbonia,39,8,57,20,10,9.8
486,serov,60,61,66,80,-10.84,2.97
506,marabba,12,33,35,0,26.37,0.92
510,berdigestyakh,61,125,65,68,-16.29,1.12
511,nemuro,40,147,100,92,0.31,15.17
515,yefremov,53,38,92,80,-3.54,4.37
517,blagoyevo,63,48,69,76,-11.44,2.77
518,wanxian,31,108,83,0,5.47,0.97
525,dali,25,101,86,0,9.72,1.42
527,tessalit,20,2,15,8,19.97,6.57
529,san rafael,13,123,22,0,25.77,2.12
533,okhotsk,58,143,100,0,-15.94,1.12
535,lorengau,3,148,96,48,28.52,7.27
543,bozhou,34,116,75,0,3.92,1.02
544,makinsk,52,70,95,88,1.81,6.92
553,sur,20,59,87,0,24.52,0.97
555,lasa,31,90,63,20,18.35,3.6
556,abu kamal,33,40,26,0,17.27,2.97
558,wanlaweyn,3,44,74,20,26.42,3.22
564,darab,29,55,48,0,6.81,0.32
565,kargasok,61,81,85,80,-4.04,2.07
568,balakhninskiy,59,114,77,80,-12.64,0.97
576,petropavlovsk-kamchatskiy,51,159,52,0,-9,4
579,hami,43,95,62,0,7.72,3.12
584,uyo,5,8,80,76,26.97,3.42
587,klyuchi,56,161,90,8,6.56,6.57
588,kumeny,58,50,64,24,-16.09,1.52
594,yaan,31,102,50,36,32.37,3.52
599,salekhard,67,67,0,20,-33.54,1.97
600,kurumkan,55,111,81,76,-10.44,0.97
601,xining,36,99,80,32,-3.84,1.32
602,lang suan,10,99,92,76,26.37,2.27
604,salvacion,12,120,100,88,23.97,8.17
616,ust-tsilma,67,50,72,68,-13.04,3.02
621,moissala,8,18,80,56,24.67,4.77
630,svit,49,20,55,20,1,4.1
631,adre,13,22,54,0,26.37,1.27
638,krivosheino,57,84,90,80,-5.89,3.62
647,hagere hiywet,9,38,55,92,16.72,1.37
651,zhangjiakou,43,115,90,20,-0.14,1.87
655,chandur,21,78,35,0,21.07,3.32
667,onega,65,38,88,80,-6.79,3.62
668,kumluca,36,30,18,80,15.52,1.77
676,aketi,2,24,81,56,24.12,1.67
677,kovdor,68,29,80,32,-7.99,2.37
678,malpe,13,74,74,20,27,2.6
682,qianguo,45,125,50,32,0.77,5.02
685,beihai,21,109,35,0,4,2
691,leshukonskoye,66,48,85,68,-13.94,1.22
692,naze,25,135,94,75,25,5.1
